0:0:5.50073,12,0.35248
0:0:5.54078,10,0.01899
0:0:5.54872,11,0.10117
0:0:5.55678,12,-2.37125
0:0:5.59683,10,0.01947
0:0:5.60476,11,0.09999
0:0:5.61282,12,-0.01602
0:0:5.65275,10,0.01998
0:0:5.66081,11,0.1014
0:0:5.66874,12,-3.74914
0:0:5.67668,0,-72.66541
0:0:5.70879,10,0.03224
0:0:5.71685,11,0.09885
0:0:5.72479,12,-0.0206
0:0:5.76484,10,0.03238
0:0:5.77277,11,0.09949
0:0:5.78083,12,-2.35752
0:0:5.82088,10,0.03075
0:0:5.82882,11,0.09815
0:0:5.83687,12,-3.74914
0:0:5.87680,10,0.03258
0:0:5.88486,11,0.09812
0:0:5.89280,12,-0.01373
0:0:5.93285,10,0.03216
0:0:5.94078,11,0.09836
0:0:5.94884,12,-3.74914
0:0:5.95678,0,-37.50916
0:0:5.98889,10,0.02853
0:0:5.99683,11,0.09926
0:0:6.00464,12,-3.74685
0:0:6.04457,10,0.02806
0:0:6.05263,11,0.09861
0:0:6.06056,12,-3.6759
0:0:6.06862,0,-74.27673
0:0:6.10061,10,0.02918
0:0:6.10843,11,0.09845
0:0:6.11661,12,-0.05951
0:0:6.15665,10,0.02059
0:0:6.16459,11,0.1009
0:0:6.17265,12,-0.01373
0:0:6.21270,10,0.02048
0:0:6.22063,11,0.1
0:0:6.22869,12,-0.01373
0:0:6.26862,10,0.02044
0:0:6.27668,11,0.10157
0:0:6.28462,12,-3.69421
0:0:6.29267,0,-18.75
0:0:6.32466,10,0.02083
0:0:6.33272,11,0.09984
0:0:6.34066,12,-3.74685
0:0:6.34860,0,-73.16895
0:0:6.38071,10,0.02037
0:0:6.38864,11,0.10117
0:0:6.39670,12,-2.35752
0:0:6.40464,0,-73.83728
0:0:6.43675,10,0.02148
0:0:6.44469,11,0.10125
0:0:6.45275,12,-3.74456
0:0:6.46068,0,-37.50916
0:0:6.49267,10,0.02136
0:0:6.50073,11,0.10068
0:0:6.50867,12,-3.6759
0:0:6.51661,0,10.71167
0:0:6.54872,10,0.02194
0:0:6.55665,11,0.09987
0:0:6.56471,12,-2.35752
0:0:6.57265,0,-72.66541
0:0:6.60476,10,0.02096
0:0:6.61270,11,0.1017
0:0:6.62076,12,-3.68505
0:0:6.66068,10,0.02211
0:0:6.66874,11,0.10205
0:0:6.67680,12,-0.0206
0:0:6.71673,10,0.02138
0:0:6.72479,11,0.09987
0:0:6.73272,12,-2.41245
0:0:6.77277,10,0.02241
0:0:6.78071,11,0.10112
0:0:6.78877,12,-0.01373
0:0:6.82882,10,0.02226
0:0:6.83675,11,0.09961
0:0:6.84469,12,-3.74914
0:0:6.85275,0,-67.08984
0:0:6.88474,10,0.02191
0:0:6.89280,11,0.10141
0:0:6.90073,12,-0.03204
0:0:6.94078,10,0.0225
0:0:6.94884,11,0.10044
0:0:6.95678,12,-0.01373
0:0:6.99683,10,0.02195
0:0:7.00452,11,0.09977
0:0:7.01258,12,-0.01373
0:0:7.05250,10,0.02075
0:0:7.06056,11,0.09975
0:0:7.06862,12,-0.0206
0:0:7.10855,10,0.02168
0:0:7.11661,11,0.09991
0:0:7.12454,12,-0.01602
0:0:7.16459,10,0.02213
0:0:7.17265,11,0.10089
0:0:7.18059,12,-0.0206
0:0:7.22063,10,0.02295
0:0:7.22857,11,0.10041
0:0:7.23663,12,-0.01373
0:0:7.27656,10,0.02248
0:0:7.28462,11,0.09972
0:0:7.29267,12,-0.00687
0:0:7.33260,10,0.02997
0:0:7.34066,11,0.0985
0:0:7.34860,12,-1.40536
0:0:7.35653,0,-69.14978
0:0:7.38864,10,0.03091
0:0:7.39658,11,0.09898
0:0:7.40464,12,-0.0206
0:0:7.44469,10,0.02979
0:0:7.45263,11,0.09823
0:0:7.46068,12,-0.0206
0:0:7.50061,10,0.03086
0:0:7.50867,11,0.09843
0:0:7.51661,12,-1.25429
0:0:7.52454,0,18.74084
0:0:7.55665,10,0.03058
0:0:7.56471,11,0.09775
0:0:7.57265,12,-0.01373
0:0:7.61270,10,0.0331
0:0:7.62064,11,0.09849
0:0:7.62869,12,0
0:0:7.66874,10,0.03149
0:0:7.67668,11,0.09814
0:0:7.68474,12,0
0:0:7.72466,10,0.02284
0:0:7.73272,11,0.10093
0:0:7.74066,12,0
0:0:7.78071,10,0.0238
0:0:7.78877,11,0.10161
0:0:7.79670,12,-0.00687
0:0:7.83675,10,0.02427
0:0:7.84469,11,0.10082
0:0:7.85275,12,-0.00687
0:0:7.89267,10,0.02395
0:0:7.90073,11,0.10122
0:0:7.90879,12,-0.00687
0:0:7.94872,10,0.02302
0:0:7.95678,11,0.10073
0:0:7.96471,12,-0.00687
0:0:8.00452,10,0.02334
0:0:8.01245,11,0.09985
0:0:8.02051,12,-0.0206
0:0:8.05861,10,0.02338
0:0:8.06850,11,0.10191
0:0:8.07656,12,-0.0206
0:0:8.11648,10,0.02264
0:0:8.12454,11,0.1005
0:0:8.13248,12,-0.01373
0:0:8.17253,10,0.0233
0:0:8.18059,11,0.10158
0:0:8.18852,12,-0.00687
0:0:8.22857,10,0.02376
0:0:8.23651,11,0.10073
0:0:8.24457,12,-0.01373
0:0:8.28462,10,0.02338
0:0:8.29255,11,0.10197
0:0:8.30061,12,-0.06867
0:0:8.34054,10,0.02347
0:0:8.34860,11,0.10098
0:0:8.35653,12,-0.03204
0:0:8.39658,10,0.02395
0:0:8.40464,11,0.1003
0:0:8.41258,12,-0.08698
0:0:8.45263,10,0.02365
0:0:8.46056,11,0.10095
0:0:8.46862,12,-0.01373
0:0:8.50855,10,0.02406
0:0:8.51661,11,0.10074
0:0:8.52466,12,-0.00687
0:0:8.56459,10,0.02282
0:0:8.57265,11,0.10031
0:0:8.58059,12,-0.0206
0:0:8.62064,10,0.02285
0:0:8.62857,11,0.10048
0:0:8.63663,12,-0.01373
0:0:8.67668,10,0.02332
0:0:8.68462,11,0.10054
0:0:8.69267,12,0.02289
0:0:8.73260,10,0.02303
0:0:8.74066,11,0.10085
0:0:8.74860,12,-0.0206
0:0:8.78864,10,0.0232
0:0:8.79670,11,0.10103
0:0:8.80464,12,-0.00687
0:0:8.84469,10,0.02264
0:0:8.85262,11,0.10146
0:0:8.86068,12,0
0:0:8.90073,10,0.0233
0:0:8.90867,11,0.10166
0:0:8.91673,12,-0.0206
0:0:8.95665,10,0.02874
0:0:8.96471,11,0.09962
0:0:8.97265,12,-0.01373
0:0:9.01245,10,0.02824
0:0:9.02051,11,0.09871
0:0:9.02845,12,-0.08698
0:0:9.06850,10,0.02871
0:0:9.07644,11,0.09954
0:0:9.08449,12,-3.71939
0:0:9.09243,0,-59.15222
0:0:9.12454,10,0.02966
0:0:9.13248,11,0.09831
0:0:9.14054,12,-0.01373
0:0:9.14847,0,73.71826
0:0:9.18046,10,0.02839
0:0:9.18852,11,0.09873
0:0:9.19646,12,-3.58434
0:0:9.23651,10,0.02832
0:0:9.24444,11,0.09911
0:0:9.25250,12,-3.74914
0:0:9.26044,0,-75
0:0:9.29255,10,0.0277
0:0:9.30049,11,0.09949
0:0:9.30855,12,-3.74914
0:0:9.31648,0,-75
0:0:9.34847,10,0.02277
0:0:9.35653,11,0.10016
0:0:9.36447,12,-3.74914
0:0:9.37253,0,-75
0:0:9.40452,10,0.02385
0:0:9.41258,11,0.10126
0:0:9.42051,12,-3.74914
0:0:9.42845,0,-75
0:0:9.46056,10,0.02353
0:0:9.46850,11,0.10089
0:0:9.47656,12,-3.74914
0:0:9.48449,0,-75
0:0:9.51661,10,0.02353
0:0:9.52454,11,0.10139
0:0:9.53260,12,-2.57725
0:0:9.57253,10,0.02389
0:0:9.58059,11,0.10053
0:0:9.58852,12,0.57221
0:0:9.62857,10,0.02373
0:0:9.63639,11,0.09981
0:0:9.64457,12,-1.19478
0:0:9.68462,10,0.02405
0:0:9.69255,11,0.10061
0:0:9.70061,12,-0.01373
0:0:9.74066,10,0.02421
0:0:9.74860,11,0.10007
0:0:9.75665,12,-0.0206
0:0:9.79658,10,0.02294
0:0:9.80464,11,0.10078
0:0:9.81258,12,-0.01373
0:0:9.85262,10,0.0235
0:0:9.86068,11,0.10061
0:0:9.86862,12,0.56992
0:0:9.90867,10,0.02299
0:0:9.91661,11,0.09987
0:0:9.92466,12,-0.01373
0:0:9.96459,10,0.02329
0:0:9.97265,11,0.10023
0:0:9.98071,12,0.60883
0:0:10.02039,10,0.02308
0:0:10.02845,11,0.10124
0:0:10.03639,12,-0.0206
0:0:10.07644,10,0.02325
0:0:10.08437,11,0.10053
0:0:10.09243,12,-0.02747
0:0:10.13248,10,0.02323
0:0:10.14042,11,0.10067
0:0:10.14847,12,0
0:0:10.18840,10,0.0249
0:0:10.19646,11,0.10033
0:0:10.20440,12,-0.00687
