0:0:9.65409,0,-73.83728
0:0:9.68620,10,0.03156
0:0:9.69414,11,0.105
0:0:9.70220,12,-3.74685
0:0:9.74225,10,0.03048
0:0:9.75018,11,0.10479
0:0:9.75824,12,-3.71481
0:0:9.79817,10,0.03183
0:0:9.80623,11,0.10538
0:0:9.81416,12,-3.74914
0:0:9.82210,0,-73.83728
0:0:9.85421,10,0.03136
0:0:9.86227,11,0.10482
0:0:9.87021,12,-3.74914
0:0:9.87814,0,-73.83728
0:0:9.91026,10,0.03207
0:0:9.91819,11,0.10461
0:0:9.92625,12,-3.74914
0:0:9.93419,0,-74.86267
0:0:9.96618,10,0.0325
0:0:9.97424,11,0.10548
0:0:9.98230,12,-3.74914
0:0:9.98999,0,-73.83728
0:0:10.02198,10,0.03238
0:0:10.03004,11,0.10533
0:0:10.03797,12,-3.74914
0:0:10.04591,0,-74.86267
0:0:10.07802,10,0.03205
0:0:10.08596,11,0.10447
0:0:10.09402,12,-2.35752
0:0:10.10195,0,-72.66541
0:0:10.13407,10,0.03172
0:0:10.14200,11,0.10449
0:0:10.15006,12,-3.74914
0:0:10.15800,0,-65.63416
0:0:10.18999,10,0.03185
0:0:10.19805,11,0.10584
0:0:10.20598,12,-3.74914
0:0:10.21404,0,-65.63416
0:0:10.24603,10,0.03246
0:0:10.25409,11,0.10489
0:0:10.26203,12,-3.74914
0:0:10.26996,0,-74.86267
0:0:10.30208,10,0.03252
0:0:10.31001,11,0.10597
0:0:10.31807,12,-3.74914
0:0:10.32601,0,-73.83728
0:0:10.35812,10,0.03165
0:0:10.36606,11,0.10579
0:0:10.37411,12,-3.73999
0:0:10.41404,10,0.03226
0:0:10.42210,11,0.10513
0:0:10.43004,12,0
0:0:10.43797,0,-74.86267
0:0:10.47009,10,0.03221
0:0:10.47814,11,0.10597
0:0:10.48608,12,-3.74914
0:0:10.49402,0,-73.83728
0:0:10.52613,10,0.0328
0:0:10.53407,11,0.10564
0:0:10.54212,12,-3.74914
0:0:10.55006,0,-73.83728
0:0:10.58205,10,0.03261
0:0:10.59011,11,0.10568
0:0:10.59817,12,-3.74456
0:0:10.60610,0,-73.83728
0:0:10.63809,10,0.03245
0:0:10.64615,11,0.1062
0:0:10.65409,12,-3.74228
0:0:10.69414,10,0.03331
0:0:10.70208,11,0.10611
0:0:10.71013,12,-3.74914
0:0:10.71807,0,-65.63416
0:0:10.75018,10,0.03362
0:0:10.75812,11,0.10541
0:0:10.76618,12,-0.01373
0:0:10.77411,0,-72.66541
0:0:10.80610,10,0.03499
0:0:10.81416,11,0.10532
0:0:10.82210,12,-0.01373
0:0:10.83016,0,-72.66541
0:0:10.86215,10,0.03391
0:0:10.87009,11,0.1058
0:0:10.87814,12,-0.16938
0:0:10.91819,10,0.03313
0:0:10.92613,11,0.10559
0:0:10.93419,12,-0.01373
0:0:10.97424,10,0.03393
0:0:10.98217,11,0.10569
0:0:10.99023,12,-0.16022
0:0:11.02991,10,0.03477
0:0:11.03797,11,0.10607
0:0:11.04591,12,-3.74914
0:0:11.05385,0,-73.83728
0:0:11.08596,10,0.03396
0:0:11.09402,11,0.10605
0:0:11.10195,12,-3.73999
0:0:11.14200,10,0.03327
0:0:11.14994,11,0.10544
0:0:11.15800,12,-0.06867
0:0:11.19805,10,0.03374
0:0:11.20598,11,0.10616
0:0:11.21404,12,-0.00458
0:0:11.22198,0,74.99084
0:0:11.25397,10,0.03424
0:0:11.26203,11,0.10713
0:0:11.26996,12,-3.74914
0:0:11.27790,0,-73.83728
0:0:11.31001,10,0.03314
0:0:11.31795,11,0.10529
0:0:11.32601,12,-3.74456
0:0:11.33394,0,-65.63416
0:0:11.36606,10,0.03396
0:0:11.37399,11,0.10644
0:0:11.38205,12,-3.73999
0:0:11.42198,10,0.03363
0:0:11.43004,11,0.10703
0:0:11.43797,12,-3.74914
0:0:11.44603,0,-65.63416
0:0:11.47802,10,0.03482
0:0:11.48608,11,0.1059
0:0:11.49402,12,-3.74914
0:0:11.50195,0,-65.63416
0:0:11.53407,10,0.03512
0:0:11.54200,11,0.10583
0:0:11.55006,12,-3.74914
0:0:11.55800,0,-65.63416
0:0:11.59011,10,0.03325
0:0:11.59805,11,0.10647
0:0:11.60610,12,-3.74914
0:0:11.61404,0,-74.86267
0:0:11.64603,10,0.03373
0:0:11.65409,11,0.10637
0:0:11.66203,12,-3.74914
0:0:11.66996,0,-74.86267
0:0:11.70208,10,0.03456
0:0:11.71013,11,0.10615
0:0:11.71807,12,-3.74685
0:0:11.75812,10,0.03403
0:0:11.76606,11,0.10549
0:0:11.77411,12,-3.74914
0:0:11.78205,0,-65.63416
0:0:11.81416,10,0.03374
0:0:11.82210,11,0.10566
0:0:11.83016,12,-3.74914
0:0:11.83810,0,-74.86267
0:0:11.87009,10,0.03478
0:0:11.87814,11,0.10622
0:0:11.88608,12,-3.74914
0:0:11.89402,0,-74.86267
0:0:11.92613,10,0.03402
0:0:11.93419,11,0.10556
0:0:11.94212,12,-3.74914
0:0:11.95006,0,-74.86267
0:0:11.98217,10,0.03446
0:0:11.99011,11,0.10632
0:0:11.99817,12,-3.74228
0:0:12.03785,10,0.03387
0:0:12.04591,11,0.10558
0:0:12.05397,12,-3.74456
0:0:12.09389,10,0.03354
0:0:12.10195,11,0.10579
0:0:12.10989,12,-3.74914
0:0:12.11783,0,-74.86267
0:0:12.14994,10,0.03367
0:0:12.15788,11,0.10627
0:0:12.16593,12,-3.74914
0:0:12.17387,0,-73.83728
0:0:12.20598,10,0.03425
0:0:12.21392,11,0.10573
0:0:12.22198,12,-3.74914
0:0:12.22991,0,-65.63416
0:0:12.26190,10,0.03406
0:0:12.26996,11,0.10641
0:0:12.27790,12,-3.74914
0:0:12.28584,0,-73.83728
0:0:12.31795,10,0.03447
0:0:12.32601,11,0.10624
0:0:12.33394,12,-3.74456
0:0:12.34188,0,-73.83728
0:0:12.37399,10,0.03427
0:0:12.38193,11,0.10584
0:0:12.38999,12,-3.74228
0:0:12.43004,10,0.03476
0:0:12.43797,11,0.10697
0:0:12.44591,12,-3.74456
0:0:12.45397,0,-65.63416
0:0:12.48596,10,0.03359
0:0:12.49402,11,0.1062
0:0:12.50195,12,-3.74914
0:0:12.50989,0,-65.63416
0:0:12.54200,10,0.03412
0:0:12.55006,11,0.10715
0:0:12.55800,12,-3.74914
0:0:12.56593,0,-65.63416
0:0:12.59805,10,0.03435
0:0:12.60598,11,0.10524
0:0:12.61404,12,-0.01373
0:0:12.62198,0,-72.66541
0:0:12.65397,10,0.03495
0:0:12.66203,11,0.1073
0:0:12.66813,12,0
0:0:12.67802,0,-73.83728
0:0:12.71001,10,0.03502
0:0:12.71807,11,0.10686
0:0:12.72601,12,-3.74914
0:0:12.73394,0,-73.83728
0:0:12.76606,10,0.03418
0:0:12.77399,11,0.10616
0:0:12.78205,12,-3.74228
0:0:12.82210,10,0.03382
0:0:12.83004,11,0.10647
0:0:12.83810,12,-0.01373
0:0:12.84603,0,-73.83728
0:0:12.87802,10,0.0345
0:0:12.88608,11,0.10713
0:0:12.89402,12,-0.05951
0:0:12.93407,10,0.03486
0:0:12.94212,11,0.107
0:0:12.95006,12,-3.74914
0:0:12.95800,0,-73.83728
0:0:12.99011,10,0.03474
0:0:12.99805,11,0.10615
0:0:13.00586,12,-3.74914
0:0:13.01380,0,-74.86267
0:0:13.04493,10,0.03424
0:0:13.05385,11,0.10687
0:0:13.06190,12,0
0:0:13.06984,0,-72.66541
0:0:13.10183,10,0.03373
0:0:13.10989,11,0.10601
0:0:13.11783,12,-3.72168
0:0:13.15788,10,0.03574
0:0:13.16593,11,0.10747
0:0:13.17387,12,-3.74914
0:0:13.18181,0,-73.83728
0:0:13.21392,10,0.03458
0:0:13.22186,11,0.10634
0:0:13.22991,12,-3.69421
0:0:13.26984,10,0.03462
0:0:13.27790,11,0.10639
0:0:13.28596,12,-3.74228
0:0:13.32588,10,0.034
0:0:13.33394,11,0.10699
0:0:13.34188,12,-3.74914
0:0:13.34982,0,-73.83728
0:0:13.38193,10,0.0349
0:0:13.38987,11,0.10698
0:0:13.39792,12,-3.73999
0:0:13.43797,10,0.03411
0:0:13.44591,11,0.10663
0:0:13.45397,12,-3.74914
0:0:13.46190,0,-65.63416
0:0:13.49389,10,0.03505
0:0:13.50195,11,0.10694
0:0:13.50989,12,-0.17853
0:0:13.54994,10,0.03444
0:0:13.55775,11,0.10692
0:0:13.56593,12,-3.74914
0:0:13.57387,0,-70.32166
0:0:13.60598,10,0.03378
0:0:13.61392,11,0.10607
0:0:13.62198,12,-3.69421
0:0:13.66203,10,0.03436
0:0:13.66996,11,0.10607
0:0:13.67802,12,-0.00458
0:0:13.71795,10,0.03422
0:0:13.72601,11,0.10721
0:0:13.73394,12,-3.73541
0:0:13.74188,0,-73.83728
0:0:13.77399,10,0.03468
0:0:13.78205,11,0.10573
